tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error,pde_residual
1.601,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09912401601571685,0.09266589102131084,0.0064581249944060115,-0.3964203579831986,-0.3888313256725473,-0.007589032310651278,1.3998718013698188,1.6434347368641102,-0.24356293549429142,0.2796130433379762,0.3605826968367495,-0.08096965349877328,-0.024583458884136183,-0.0246720135089429,8.855462480671789e-05,-0.7501339743648002,-0.7639601666779585,0.013826192313158292,0.003750300098018945
1.6120833333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09939602028070116,0.09293879756209722,0.006457222718603939,-0.39617905564808886,-0.3885821261030249,-0.0075969295450639684,1.3940301502376613,1.637347591770915,-0.24331744153325374,0.27885277552107973,0.3595917257712534,-0.08073895025017369,-0.024500303313623885,-0.02457443550362964,7.413219000575524e-05,-0.7556812899417508,-0.7692915582571276,0.013610268315376817,0.0037713309753878883
1.6231666666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09966711235143433,0.09321062776837696,0.006456484583057365,-0.39594254210240687,-0.3883346047695455,-0.007607937332861359,1.3882541958219958,1.6313214526672146,-0.2430672568452188,0.27809363828787453,0.3586054335069784,-0.08051179521910384,-0.024418847323208606,-0.024477785049533664,5.8937726325057616e-05,-0.7612269187953452,-0.7746244834369698,0.01339756464162456,0.0037930517956297205
1.63425,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09993731089711122,0.0934813918320283,0.006455919065082916,-0.395710684530944,-0.3880887309680896,-0.007621953562854389,1.382543460559745,1.6253553189394863,-0.24281185837974117,0.27733569347690223,0.3576238430837948,-0.08028814960689257,-0.02433906072629589,-0.02438204624780741,4.2985521511520325e-05,-0.7667711768947977,-0.7799589286462651,0.01318775175146747,0.003815436025511307
1.6453333333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10020663425552001,0.0937510997709432,0.006455534484576808,-0.39548335056413375,-0.38784447476244943,-0.0076388758016843195,1.3768974376855008,1.619448212905779,-0.24255077522027824,0.2765790010897401,0.3566469750676567,-0.0800679739779166,-0.024260913903464906,-0.024287203599060215,2.6289695595309304e-05,-0.7723143722672622,-0.7852948803825441,0.012980508115281952,0.00383845824747717
1.6564166666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10047510043923336,0.09401976143338209,0.006455339005851268,-0.39526040844707244,-0.38760180696105806,-0.0076586014860143825,1.3713155927529583,1.613599179135094,-0.24228358638213576,0.2758236193431591,0.3556748476565228,-0.07985122831336372,-0.024184377785987907,-0.024193241990467424,8.86420447951744e-06,-0.7778568049525463,-0.7906323252137966,0.012775520261250284,0.003862094124369886
1.6675,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.1007427271416258,0.09428738650219004,0.006455340639435758,-0.39504172719838243,-0.38736069909462745,-0.007681028103754983,1.3657973651792403,1.6078072837916033,-0.24200991861236298,0.2750696047192212,0.35470747678217285,-0.07963787206295164,-0.024109423840602398,-0.024100146683376185,-9.277157226213195e-06,-0.78339876696799,-0.7959712497800238,0.012572482812033714,0.0038863203642534004
1.6785833333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10100953174272931,0.09455398449887698,0.006455547243852333,-0.3948271767592301,-0.38712112339457994,-0.007706053364650189,1.3603421698022873,1.6020716140026807,-0.24172944420039344,0.27431701201345254,0.35374487620808703,-0.07942786419463449,-0.02403602405545005,-0.02400790330138582,-2.812075406423073e-05,-0.7889405422830681,-0.8013116407946972,0.012371098511629097,0.0039111146854695945
1.6896666666666667,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10127553131494238,0.09481956478756859,0.006455966527373791,-0.39461662813276205,-0.3868830527722069,-0.007733575360555134,1.354949398442363,1.5963912772497015,-0.24144187880733847,0.2735658943811863,0.35278705762353524,-0.07922116324234896,-0.023964150927104504,-0.023916497818882245,-4.765310822225921e-05,-0.7944824068031455,-0.8066534850460849,0.012171078242939393,0.003936455782047432
1.70075,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.1015407426285938,0.09508413657883308,0.006456606049760727,-0.3944099535142681,-0.3866464607985638,-0.007763492715704312,1.3496184214595477,1.5907654007806444,-0.24114697932109674,0.2728163033822011,0.3518340307340277,-0.0790177273518266,-0.023893777448608686,-0.023825916550005863,-6.786089860282354e-05,-0.8000246283619264,-0.8119967693984604,0.01197214103653399,0.003962323289569726
1.7118333333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10180518215738515,0.09534770893338707,0.006457473223998089,-0.3942070264123821,-0.38641132168504067,-0.007795704727341424,1.3443485893002562,1.5851931310435567,-0.2408445417433005,0.27206828902373686,0.3508858033482701,-0.07881751432453321,-0.023824877098449944,-0.023736146138034618,-8.87309604153258e-05,-0.8055674667220774,-0.8173414807932247,0.01177401407114731,0.003988697751587115
1.7229166666666667,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.10206886608371646,0.0956102907656865,0.006458575318029958,-0.3940077217616151,-0.38617761026461417,-0.007830111497000913,1.3391392340262416,1.579673633140032,-0.2405343991137905,0.271321899801993,0.3499423814617548,-0.07862048165976182,-0.02375742383040389,-0.023647173545163987,-0.00011025028523990385,-0.8111111735836422,-0.8226876062499175,0.011576432666275394,0.004015560586658758
