tau,moneyness,v,rho,kappa,gamma,bar_v,r,log_moneyness,price_ref,delta_ref,gamma_ref,vega_ref,theta_ref,rho_ref,baseline_price_pred,baseline_price_error,baseline_delta_pred,baseline_delta_error,baseline_gamma_pred,baseline_gamma_error,baseline_vega_pred,baseline_vega_error,baseline_theta_pred,baseline_theta_error,baseline_rho_pred,baseline_rho_error,baseline_pde_residual,acv_price_pred,acv_price_error,acv_delta_pred,acv_delta_error,acv_gamma_pred,acv_gamma_error,acv_vega_pred,acv_vega_error,acv_theta_pred,acv_theta_error,acv_rho_pred,acv_rho_error,acv_pde_residual
0.0009048924476750721,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,6.745621226045273e-07,0.00026705691522344033,-0.2175146461608004,-0.00010514547876612317,0.004416916921998783,2.5496630822840864e-07,-0.00023649576310741383,-0.00023717032523001835,-0.016387503805542974,-0.016654560720766414,3.1746317891941995,3.392146435355,-0.0035557997876505335,-0.0034506543088844103,-0.12152685245851588,-0.12594376938051466,0.046689452622168365,0.04668919765586014,0.04970018429906575,-9.563104573368204e-05,-9.630560785628657e-05,-0.01197176680959149,-0.01223882372481493,0.4482439821979642,0.6657586283587646,-0.0014378475438402611,-0.001332702065074138,-0.04909351718220485,-0.053510434104203634,0.01887966668123139,0.01887941171492316,0.0380814783964482
0.000978951420342776,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,4.1500240133274247e-07,0.00014309305250770343,-0.13394845436868352,-7.016222646443469e-05,0.0027278656379628573,1.4774322940644229e-07,-0.00022749685139855647,-0.0002279118537998892,-0.016680757408099923,-0.016823850460607626,3.1762758758367258,3.3102243302054095,-0.0034215579303672255,-0.0033513957039027907,-0.12149331343758789,-0.12422117907555075,0.04677435772005333,0.046774209976823924,0.04961676005910125,-9.199560589951727e-05,-9.241060830085002e-05,-0.011887079294867937,-0.01203017234737564,0.439325342678297,0.5732737970469806,-0.0013836160500216613,-0.0013134538235572268,-0.04908337980841016,-0.05181124544637302,0.018914703006059207,0.0189145552628298,0.03829036030231839
0.0010590715900584689,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,2.44696725215654e-07,7.096227319314252e-05,-0.07911869520870041,-4.495105271124823e-05,0.0016190839551766846,7.922367982297895e-08,-0.00021776423881780804,-0.0002180089355430237,-0.01699762793078656,-0.017068590203979703,3.1780581471834757,3.257176842392176,-0.003276397014953803,-0.0032314459622425546,-0.12145706652680562,-0.1230761504819823,0.04686605165633469,0.04686597243265486,0.049526486782538556,-8.806347511990413e-05,-8.830817184511978e-05,-0.011795390918900871,-0.011866353192094014,0.4296954592633249,0.5088141544720253,-0.0013249691895036142,-0.001280018136792366,-0.049072455046714265,-0.05069153900189095,0.018952548850129872,0.01895246962645005,0.0385159564837685
0.0011457490224348818,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.375043345852589e-07,3.1781566151023455e-05,-0.04460830489074641,-2.752315717008771e-05,0.0009194777507818882,3.835349757230766e-08,-0.00020723835005742597,-0.00020737585439201123,-0.017339982637691202,-0.017371764203842226,3.1799904631256495,3.2245987680163957,-0.003119434893613699,-0.003091911736443611,-0.12141789634884878,-0.12233737409963066,0.046965063018671885,0.04696502466517431,0.04942880175744287,-8.381051115154114e-05,-8.39480154861264e-05,-0.011696116828765373,-0.011727898394916397,0.4192992956178529,0.4639076005085993,-0.0012615494809007602,-0.0012340263237306725,-0.04906068585490736,-0.04998016360568925,0.01899342441574289,0.018993386062245318,0.0387595703381848
0.0012395203825059766,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,7.308835681119064e-08,1.223600221789134e-05,-0.02386957594209238,-1.601781672209629e-05,0.0004970196949821322,1.594975070312414e-08,-0.00019585481364542412,-0.0001959279020022353,-0.017709830384778257,-0.01772206638699615,3.1820857304235033,3.2059553063655954,-0.0029497191711422704,-0.002933701354420174,-0.1213755709433777,-0.12187259063835983,0.047071959113802866,0.047071943164052166,0.04932309622780777,-7.921061861816514e-05,-7.928370697497633e-05,-0.011588622288059538,-0.01160085829027743,0.4080778492389532,0.43194742518104556,-0.0011929708335831973,-0.001176953016861101,-0.049048011836145176,-0.04954503153112731,0.019037566305223217,0.019037550355472513,0.03902260105060966
0.0013409662574991057,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,3.633576006745187e-08,3.528753305115373e-06,-0.012036952933278472,-8.802133433918958e-06,0.00025412835127119546,4.955762818344145e-09,-0.00018354408274473544,-0.0001835804185048029,-0.018109331283797086,-0.0181128600371022,3.1843579968602174,3.196394949793496,-0.0027662217852857697,-0.002757419651851851,-0.1213298405817224,-0.1215839689329936,0.0471873483794998,0.047187343423736976,0.049208711723152054,-7.423559273973097e-05,-7.427192849979842e-05,-0.011472218254230698,-0.011475747007535814,0.3959679178126008,0.4080048707458793,-0.0011188163127278492,-0.0011100141792939303,-0.04903436920286171,-0.04928849755413291,0.019085228596779216,0.019085223641016398,0.039306549609417166
0.0014507147515522918,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.656073156386384e-08,2.620512371542816e-07,-0.005670291530063223,-4.530072411164791e-06,0.00012197281438796649,3.780331286722116e-10,-0.00017023102712376836,-0.00017024758785533223,-0.018540806827356114,-0.01854106887859327,3.186822553405028,3.192492844935091,-0.0025678331989060373,-0.0025633031264948726,-0.12128043651200168,-0.12140240932638965,0.04731188286953648,0.04731188249150335,0.04908493612837099,-6.885495079999661e-05,-6.887151153156048e-05,-0.01134615653757609,-0.011346418588813243,0.3829018617596608,0.388572153289724,-0.0010386357384636004,-0.0010341056660524357,-0.04901969078290306,-0.049141663597291024,0.019136683965779652,0.019136683587746523,0.039613025011979254
0.001569445374633395,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,6.609810032642827e-09,-6.007956541154158e-07,-0.002466630882251644,-2.160765017691058e-06,5.4428563061412194e-05,-1.0075994717403947e-09,-0.0001558344942976797,-0.00015584110410771235,-0.019006750456488874,-0.01900614966083476,3.189496044810997,3.1919626756932487,-0.0023533561813995,-0.002351195416381809,-0.12122706963305643,-0.12128149819611785,0.04744626079762053,0.04744626180522,0.04895099948527759,-6.303575041366977e-05,-6.304236022370241e-05,-0.011209624498935804,-0.011209023703281688,0.36880736534337705,0.3712739962256287,-0.0009519431079889625,-0.0009497823429712714,-0.04900390608291489,-0.0490583346459763,0.019192224848583687,0.01919222585618316,0.03994375062576362
0.001697893249739504,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.9764259118204563e-09,-5.94065770243013e-07,-0.0009750584527639643,-9.417592054705431e-07,2.229643135390376e-05,-1.0701125170448772e-09,-0.0001402668377454841,-0.00014026881417139592,-0.019509838541104496,-0.019509244475334253,3.1923965890013406,3.1933716474541045,-0.0021214991564272125,-0.002120557397221742,-0.12116942909599253,-0.12119172552734643,0.04759122912210272,0.04759123019221524,0.048806069520030096,-5.674239359112044e-05,-5.6744370017032263e-05,-0.011061739239230912,-0.011061145173460669,0.3536071998884201,0.35458225834118406,-0.0008582138283918499,-0.0008572720691863794,-0.048986941438646826,-0.04900923787000073,0.019252164645013795,0.01925216571512631,0.040300570654209215
0.0018368536644254832,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,8.890999048105641e-12,-3.878714073257683e-07,-0.00034159443440266203,-3.671891994406426e-07,8.23194000949476e-06,-7.535155633134338e-10,-0.00012343340997184038,-0.00012343341886283943,-0.02005294173016301,-0.020052553858755685,3.195543905488618,3.195885499923021,-0.0018708690928842017,-0.001870501903684761,-0.12110718083254757,-0.12111541277255707,0.04774758614821529,0.04774758690173085,0.048649246894554674,-4.993641549600244e-05,-4.993642438700149e-05,-0.010901541232011671,-0.010901153360604345,0.33721899582305326,0.33756059025745594,-0.0007568817446585834,-0.0007565145554591428,-0.0489687203339725,-0.048976952273981994,0.019316838954178968,0.01931683970769453,0.04068545662143361
0.001987186994842565,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,-7.35508542959451e-10,-2.1367160851770706e-07,-0.0001007443195304024,-1.2277084788830053e-07,2.641365963673703e-06,-4.476001305708799e-10,-0.00010523201811751814,-0.00010523128260897519,-0.020639136611975875,-0.020638922940367357,3.1989594529084053,3.1990601972279356,-0.0015999639161555928,-0.0015998411453077045,-0.12103996601001202,-0.12104260737597569,0.047916184118691404,0.047916184566291535,0.04847956018532036,-4.2576256704159286e-05,-4.2575521195616327e-05,-0.010727987359548748,-0.01072777368794023,0.3195550396823149,0.3196557840018453,-0.0006473359362975958,-0.0006472131654497075,-0.04894916414371157,-0.04895180550967524,0.019386606836790388,0.019386607284390518,0.04110051369186137
0.00214982403277429,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,-9.69942237638577e-10,-1.1661419230257764e-07,-1.9506244012184887e-05,-2.8639665665351394e-08,6.113648207441147e-07,-2.6305452347635816e-10,-8.555233968110532e-05,-8.555136973886768e-05,-0.021271717605382295,-0.021271600991189993,3.202666575525203,3.202686081769215,-0.001307164417067888,-0.0013071357774022227,-0.12096739941291455,-0.1209680107777353,0.04809793175678424,0.048097932019838766,0.04829596059971837,-3.461701756504414e-05,-3.4616047622806505e-05,-0.010539943355245454,-0.010539826741053152,0.30052213889632484,0.30054164514033704,-0.0005289172202885365,-0.0005288885806228711,-0.048928194058094926,-0.04892880542291567,0.01946185209526361,0.019461852358318134,0.04154798636795192
0.0023257717486522065,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,-9.962523028761439e-10,-8.755569291807319e-08,9.771895510071911e-06,1.2463605654136753e-08,-2.2222907369341682e-07,-2.1304639129249292e-10,-6.427529584324132e-05,-6.427429959093844e-05,-0.021954208978606546,-0.021954121422913628,3.206690658255685,3.206680886360175,-0.0009907256367885343,-0.0009907381003941883,-0.1208890677522968,-0.1208888455232231,0.04829379671747013,0.048293796930516525,0.04809731644955133,-2.601019288494824e-05,-2.6009196632645365e-05,-0.010336175791324067,-0.010336088235631148,0.2800216639253711,0.28001189202986104,-0.00040091419609687386,-0.000400926659702528,-0.048905736198795464,-0.04890551396972177,0.019542984560445373,0.019542984773491763,0.04203026241665879
0.002516119526233174,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,-8.796124939536298e-10,-1.2639346236298366e-07,3.771979861127636e-05,5.950128143332841e-08,-1.0730765386962604e-06,-3.3412512860653276e-10,-4.12723797822423e-05,-4.127150016974834e-05,-0.022690376864472412,-0.02269025047101005,3.2110592893413323,3.211021569542721,-0.0006487677071125013,-0.0006488272083939346,-0.12080452790379972,-0.12080345482726103,0.048504807893405874,0.048504808227531004,0.047882407412701736,-1.6703384207630526e-05,-1.6702504595136573e-05,-0.010115344102215588,-0.010115217708753226,0.2579500217174616,0.25791230191885034,-0.0002625584142215679,-0.0002626179155030012,-0.048881734595537595,-0.0488806615189989,0.01963044137045599,0.01963044170458112,0.04254987233042244
0.002722045907540414,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,-4.921820728753801e-10,-2.7967897120451113e-07,0.00010041528981092479,1.739142280801078e-07,-2.9318435022275546e-06,-8.038083107106408e-10,-1.6404937296543576e-05,-1.64044451144707e-05,-0.02348424110684089,-0.023483961427869685,3.215802429253186,3.215702013963375,-0.000279266127356498,-0.00027944004158457806,-0.12071330507623462,-0.1207103732327324,0.04873205751117486,0.04873205831498317,0.04764991862907206,-6.639984791692783e-06,-6.639492609619907e-06,-0.009875993912532103,-0.009875714233560899,0.23420008197080355,0.23409966668099264,-0.00011301769767402029,-0.0001131916119021004,-0.04885618146893901,-0.04885324962543679,0.019724688221551944,0.019724689025360256,0.04310947864237814
