moneyness,tau,value,jac_moneyness,jac_tau,hess_moneyness__moneyness,hess_tau__tau,hess_moneyness__tau,delta,gamma,vega,theta,rho
0.9075,0.9396875000000001,0.12115841123291282,-0.58413034573215,0.026874435827237777,2.0431918719539723,-0.018634427963025845,0.12804008585697174,-0.58413034573215,2.0431918719539723,0.2884374480073383,-0.026874435827237777,-0.5393060548175113
0.9075,0.951875,0.1214845718635259,-0.5825836468904186,0.026650372536734655,2.032488670546064,-0.018135942255560717,0.12579076984860896,-0.5825836468904186,2.032488670546064,0.28811761313237255,-0.026650372536734655,-0.5468910450174267
0.9075,0.9640625,0.12180803859031941,-0.581063869955821,0.026432346379056833,2.0221215717240577,-0.017643817196477243,0.12362164391917128,-0.581063869955821,2.0221215717240577,0.28778117663967334,-0.026432346379056833,-0.5544475413566434
0.9075,0.9762500000000001,0.122128884504555,-0.5795700552929893,0.026220276465856118,2.012082938725525,-0.017158587757042328,0.12152981936311599,-0.5795700552929893,2.012082938725525,0.2874289439879485,-0.026220276465856118,-0.5619757005513952
0.9075,0.9884375000000001,0.12244718167446578,-0.5781012780181292,0.026014076003245977,2.0023646403875826,-0.016680690750164408,0.11951248090045516,-0.5781012780181292,2.0023646403875826,0.28706167521371423,-0.026014076003245977,-0.5694757093459136
0.9075,1.000625,0.12276300108018728,-0.5766566471450972,0.02581365339449174,1.992958083131776,-0.01621047986860399,0.11756688008644907,-0.5766566471450972,1.992958083131776,0.28668008751206625,-0.02581365339449174,-0.5769477833437598
0.9075,1.0128125000000001,0.12307641256106272,-0.575235304806982,0.02561891317096921,1.9838542429258357,-0.015748238853641506,0.1156903295168406,-0.575235304806982,1.9838542429258357,0.2862848576623915,-0.02561891317096921,-0.5843921658102151
0.9075,1.0250000000000001,0.12338748477335038,-0.5738364255433681,0.025429756773244726,1.975043697478894,-0.01529419294748222,0.11388019784429923,-0.5738364255433681,1.975043697478894,0.2858766243111194,-0.025429756773244726,-0.5918091264528299
0.9075,1.0371875,0.12369628515665015,-0.5724592156433702,0.025246083202268017,1.9665166588784264,-0.014848518780611475,0.11213390560935418,-0.5724592156433702,1.9665166588784264,0.28545599012279504,-0.025246083202268017,-0.5991989601862366
0.9075,1.049375,0.12400287990755804,-0.5711029125345598,0.025067789558849505,1.9582630068262536,-0.014411352841283557,0.11044892187660423,-0.5711029125345598,1.9582630068262536,0.2850235238098908,-0.025067789558849505,-0.6065619858867207
0.9075,1.0615625000000002,0.12430733395930682,-0.5697667842080767,0.024894771487833364,1.9502723225789236,-0.013982798668733034,0.10882276165509504,-0.5697667842080767,1.9502723225789236,0.2845797620509295,-0.024894771487833364,-0.6138985451413789
0.9075,1.07375,0.12460971096631285,-0.5684501286705657,0.024726923541692626,1.9425339236468675,-0.013562932904975556,0.10725298407062023,-0.5684501286705657,1.9425339236468675,0.28412521130570106,-0.024726923541692626,-0.621209000996146
0.9075,1.0859375,0.12491007329272719,-0.5671522734140122,0.024564139476673012,1.9350368992570217,-0.013151810332604597,0.10573719124770146,-0.5671522734140122,1.9350368992570217,0.28366034953550956,-0.024564139476673012,-0.62849373670663
0.9075,1.098125,0.12520848200424795,-0.5658725748951328,0.024406312493105195,1.9277701465370491,-0.01274946801799733,0.10427302785025595,-0.5658725748951328,1.9277701465370491,0.28318562783565426,-0.024406312493105195,-0.635753154495196
0.9075,1.1103125,0.12550499686257588,-0.5646104180166489,0.024253335430106236,1.9207224073366211,-0.012355928671087745,0.10285818122268732,-0.5646104180166489,1.9207224073366211,0.2827014719866043,-0.024253335430106236,-0.6429876743175109
0.9075,1.1225,0.12579967632200284,-0.5633652156034946,0.024105100923581178,1.913882305562764,-0.011971203324514963,0.10149038206727128,-0.5633652156034946,1.913882305562764,0.2822082839296545,-0.024105100923581178,-0.6501977326413834
0.9075,1.1346875,0.12609257752775105,-0.5621364078678598,0.023961501535235543,1.907238384873352,-0.011595293426600886,0.10016740558946284,-0.5621364078678598,1.907238384873352,0.28170644317219434,-0.023961501535235543,-0.657383781240477
0.9075,1.146875,0.1263837563157384,-0.5609234618577762,0.023822429859210275,1.9007791465449948,-0.011228192434454061,0.09888707303987675,-0.5609234618577762,1.9007791465449948,0.2811963081271501,-0.023822429859210275,-0.6645462860052891
0.9075,1.1590625,0.12667326721353378,-0.5597258708848569,0.02368777861194367,1.894493087309892,-0.010869886985516952,0.09764725358038755,-0.5597258708848569,1.894493087309892,0.2806782173906153,-0.02368777861194367,-0.67168572577351
0.9075,1.1712500000000001,0.126961163442333,-0.5585431539276976,0.023557440709963934,1.8883687369399658,-0.01052035771821718,0.09644586640170634,-0.5585431539276976,1.8883687369399658,0.2801524909611758,-0.023557440709963934,-0.6788025911816553
0.9075,1.1834375000000001,0.12724749691982795,-0.557374855008297,0.02343130933948974,1.8823946953464732,-0.010179579805041007,0.09528088302108978,-0.557374855008297,1.8823946953464732,0.2796194314040092,-0.02343130933948974,-0.6858973835397222
0.9075,1.1956250000000002,0.12753231826389078,-0.556220542539722,0.02330927802099989,1.8765596689585249,-0.009847523254402203,0.09415032969112513,-0.556220542539722,1.8765596689585249,0.2790793249624439,-0.02330927802099989,-0.6929706137304259
0.9075,1.2078125000000002,0.1278156767970261,-0.5550798086440872,0.023191240671275044,1.8708525061445676,-0.009524153031102621,0.09305228985392432,-0.5550798086440872,1.8708525061445676,0.2785324426192857,-0.023191240671275044,-0.7000228011343563
