region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,0.7365,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1716115738562174,-0.8713613781019975,2.2124542518433543,0.1766244153213068,-0.007008546847056487,-0.6569115855887239
full_grid,0.803,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17211202412725124,-0.8553165293728584,2.275605373107549,0.19050384814497057,-0.008015106830790557,-0.705976471792278
full_grid,0.8695,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17267416317400353,-0.8399794607954851,2.316283415615924,0.2023016278860561,-0.008867330599891372,-0.7539062215734474
full_grid,0.936,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1732884024482001,-0.8253774322118028,2.3393540204748504,0.2122298477100284,-0.009585202053816437,-0.8008419866397193
full_grid,1.0025,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1739464173550439,-0.8115100766114647,2.348756796716934,0.22050530553726388,-0.010186716868454874,-0.8469067342222394
full_grid,1.069,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17464101094719264,-0.7983594426799834,2.34763540959149,0.22733541345202934,-0.010687795821799228,-0.8922068025951351
full_grid,1.1355,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17536597783510377,-0.7858969032428527,2.3384754765228877,0.2329110885751735,-0.011102360752490478,-0.9368337729677612
full_grid,1.202,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17611597620334285,-0.7740878451844571,2.3232310048045335,0.237403847088842,-0.011442492141433766,-0.9808663710567711
full_grid,1.2685,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17688641162700602,-0.7628948071294919,2.3034325301588776,0.24096533475744364,-0.011718620436175704,-1.0243722517663651
full_grid,1.335,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17767333393022022,-0.7522795410924124,2.2802761062781123,0.24372819425951753,-0.01193972361829777,-1.0674096023464312
full_grid,1.4015,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17847334695114192,-0.7422043341395155,2.2546948863994194,0.24580759929441087,-0.01211351606121348,-1.110028545170491
full_grid,1.468,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17928353035796574,-0.7326328250802443,2.2274159153990505,0.24730305737637026,-0.012246621332871464,-1.1522723453322072
full_grid,1.5345,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18010137233479062,-0.7235304794914887,2.1990048199876133,0.24830025279997525,-0.012344726087980432,-1.1941784396922797
full_grid,1.601,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18092471185928427,-0.7148648359924479,2.169900813705549,0.24887280543840784,-0.01241271473995831,-1.2357793083571456
full_grid,1.6675,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18175168932356756,-0.7066056015229942,2.1404440541916236,0.24908388394921555,-0.012454785956407198,-1.2771032101264461
full_grid,1.734,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18258070434338713,-0.698724648943891,2.1108970097353708,0.24898764910411098,-0.01247455266136659,-1.3181748021135649
full_grid,1.8005,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18341037972174978,-0.691195953347103,2.081461154152729,0.24863052416900333,-0.012475127452018836,-1.3590156615968843
full_grid,1.867,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1842395306607486,-0.6839954917577087,2.052290026408174,0.24805230073563533,-0.012459195331198263,-1.3996447257825748
full_grid,1.9335,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18506713843801847,-0.6771011228276169,2.0234994630125196,0.24728709402404414,-0.012429075531405211,-1.4400786628526596
full_grid,2.0,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.18589232787655718,-0.6704924575530398,1.9951756303911732,0.2463641638446188,-0.012386774026859271,-1.48033218557414
