rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,0.9600000000000001,0.01,0.18463899405797635,0.18466162041571021,-2.262635773386812e-05,-0.8502153525356853,-0.8503646319816693,0.00014927944598408516,0.1903982007581649,0.18599304264087602,0.004405158117288893,-0.006679060302438706,-0.007040200011893092,0.00036113970945438664,-0.841863168230775,-0.8412398602503697,-0.0006233079804053299,2.1549250963646776,2.1619888508357636,-0.007063754471086092
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.0250000000000001,0.01,0.18509610860350323,0.1851417910924622,-4.568248895897575e-05,-0.8373904827397484,-0.837284649053017,-0.00010583368673133808,0.1997520165503452,0.19476114030804226,0.004990876242302933,-0.007372977293977947,-0.007717842398807176,0.0003448651048292284,-0.8887365766853587,-0.8877866382969726,-0.0009499383883860846,2.1846789093711076,2.1908045404997516,-0.006125631128643949
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.09,0.01,0.18559585090701636,0.18566292276095964,-6.707185394327908e-05,-0.8250577670637272,-0.8247410266993762,-0.00031674036435103137,0.20775302022105097,0.20224797841465247,0.005505041806398492,-0.007991596545136674,-0.0083023594096275,0.00031076286449082703,-0.9348093025725726,-0.933532997346,-0.001276305226572516,2.202961165881463,2.2078950374599593,-0.0049338715784963405
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.155,0.01,0.18613348850633082,0.1862193086047511,-8.582009842028615e-05,-0.8132209107679068,-0.8127347760783394,-0.0004861346895673746,0.21452292048961555,0.2085917388207048,0.00593118166891074,-0.008539677497062482,-0.008804267317775262,0.0002645898207127798,-0.9801531189938969,-0.9785663500864803,-0.0015867689074166025,2.2118412499464224,2.215575843085686,-0.003734593139263609
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.22,0.01,0.1867045631007297,0.1868058968535995,-0.00010133375286980328,-0.8018757921658533,-0.8012566654678293,-0.0006191266980239973,0.22018574592974796,0.2139235380109712,0.006262207918776769,-0.00902101458194081,-0.009233190198325135,0.000212175616384324,-1.0248336995334164,-1.0229634747496033,-0.001870224783813157,2.213079182086897,2.2157527624975515,-0.0026735804106543526
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.2850000000000001,0.01,0.1873048488005873,0.18741823082817743,-0.0001133820275901476,-0.7910125953510322,-0.7902907185205292,-0.0007218768305029544,0.22486282506461916,0.21836447777624324,0.006498347288375922,-0.009439049541998519,-0.00959781280148308,0.00015876325948456158,-1.0689114540834828,-1.0667915995639634,-0.0021198545195193486,2.2081640938392515,2.2099824239429307,-0.0018183301036791555
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.35,0.01,0.18793034352121274,0.18805238812553793,-0.00012204460432518882,-0.7806173216735772,-0.7798167372731457,-0.0008005844004315144,0.22866946222076345,0.22202440018340885,0.006645062037354599,-0.009797277801900683,-0.009905895820243843,0.00010861801834315989,-1.112441990258945,-1.11010950149539,-0.002332488763555185,2.198348887771558,2.1995297767179887,-0.0011808889464308692
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.415,0.01,0.18857728044727073,0.1887049220724205,-0.00012764162514977695,-0.7706729250778253,-0.7698120997409501,-0.0008608253368751484,0.23171286061972537,0.2250016909430801,0.006711169676645284,-0.010099465470154258,-0.010164326828394799,6.486135824054079e-05,-1.1554763597141258,-1.1529685499210094,-0.002507809793116378,2.1846811167735383,2.185419260260243,-0.0007381434867048675
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.4800000000000002,0.01,0.18924214857719934,0.18937280715765192,-0.0001306585804525806,-0.7611602127643347,-0.7602530239234002,-0.0009071888409344364,0.23409096602861254,0.22738369771420763,0.006707268314404907,-0.0103497196799267,-0.010379189483979796,2.9469804053095655e-05,-1.1980612091283607,-1.1954136612573858,-0.0026475478709748757,2.1680305439512018,2.1684786521784973,-0.00044810822729557387
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.5450000000000002,0.01,0.18992171436499183,0.19005338924488657,-0.0001316748798947387,-0.7520585866181517,-0.7511154427253801,-0.000943143892771614,0.23589198645194745,0.22924748254697735,0.006644503904970095,-0.010552459622199894,-0.010555839989909319,3.3803677094244172e-06,-1.240238913669469,-1.2374841517120614,-0.0027547619574075366,2.149113825558962,2.1493757754005784,-0.0002619498416165378
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.61,0.01,0.19061303940385754,0.1907443408005317,-0.00013130139667416607,-0.7433466628821743,-0.7423755972356427,-0.0009710656465315992,0.23719439985751437,0.23066073049688518,0.006533669360629185,-0.010712329923166144,-0.010698984100857107,-1.3345822309036512e-05,-1.282047735684136,-1.279214487415689,-0.0028332482684469973,2.128516628389982,2.128648773000612,-0.0001321446106299362
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.675,0.01,0.1913134915041017,0.19144362103399049,-0.00013012952988877835,-0.7350027881414359,-0.7340104275191097,-0.000992360622326216,0.23806730298552795,0.23168270465880492,0.006384598326723029,-0.010834088534475723,-0.010812750794586472,-2.1337739889250307e-05,-1.3235220258708726,-1.3206349376554685,-0.0028870882154041766,2.1067133797732813,2.1067308399049836,-1.7460131702229376e-05
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.74,0.01,0.19202074828675464,0.19214944065874628,-0.00012869237199164552,-0.727005461334202,-0.7259978188586191,-0.0010076424755828262,0.23857098607940702,0.2323651824945161,0.006205803584890923,-0.010922491534212085,-0.01090076054951576,-2.1730984696325534e-05,-1.3646924677334487,-1.361772139994936,-0.0029203277385125848,2.0840847852223745,2.083970304272345,0.0001144809500295274
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.8050000000000002,0.01,0.1927327935866865,0.1928602308892794,-0.0001274373025929032,-0.7193336690340563,-0.7183167456409671,-0.0010169233930891197,0.23875764420012727,0.23275333709757473,0.006004307102552536,-0.01098218880092959,-0.010966187317993177,-1.6001482936412945e-05,-1.4055863568939149,-1.4026495871391311,-0.0029367697547837412,2.0609332292201676,2.06064687327583,0.0002863559443375685
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.87,0.01,0.19344790764314723,0.1935746162543257,-0.0001267086111784721,-0.7119671414059097,-0.7109473434955513,-0.0010197979103583332,0.23867215724035407,0.232886545273167,0.0057856119671870765,-0.011017637976082299,-0.011011813985067622,-5.8239910146768575e-06,-1.4462279028209892,-1.4432880453627575,-0.002939857458231776,2.0374961814529238,2.036984749668534,0.0005114317843899485
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,1.935,0.01,0.19416465237634162,0.1942913908078705,-0.0001267384315288833,-0.7048865371917796,-0.7038709318091592,-0.0010156053826204658,0.23835288858165776,0.2327991156104562,0.005553772971201576,-0.01103303946150801,-0.011040081511378003,7.042049869992323e-06,-1.4866385398850233,-1.4837059136944846,-0.0029326261905386897,2.013957748310976,2.013163213186571,0.0007945351244047494
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,2.0,0.01,0.19488185311996564,0.19500949734018092,-0.00012764422021527277,-0.6980735669228155,-0.6970700025490735,-0.0010035643737420497,0.23783246693734975,0.23252093650653705,0.0053115304308127,-0.011032292139522502,-0.011053132180839403,2.084004131690069e-05,-1.5268372359649898,-1.523919532160188,-0.00291770380480183,1.9904585270194488,1.9893251568948367,0.0011333701246121208
