tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.138,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,-0.0262379484317945,0.0011572535577923926,-0.027395201989586893,0.027395201989586893,2.258968968415951,,,-2.8041894654594444,-0.023661204844245498,-2.780528260615199,2.780528260615199,2.716258316186036,6.537557290689072,0.4693156548953059,6.0682416357937665,6.0682416357937665,4.1299782082742125,6.2270652533236195,0.05390951120183152,6.1731557421217875,6.1731557421217875,5.857386878577645,-1.794163583194063,-0.022900577417453404,-1.7712630057766097,1.7712630057766097,1.7316081786253055,-0.021538483037469983,-0.003990923279355574,-0.01754755975811441,0.01754755975811441,0.017477807170605153
0.20450000000000002,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.06510832083558143,0.002985407571487575,0.06212291326409386,0.06212291326409386,1.5509897126106496,,,-2.441047335403727,-0.04497433802051454,-2.3960729973832127,2.3960729973832127,2.2929491282265095,4.172589775829798,0.6615380582270394,3.5110517176027587,3.5110517176027587,2.113133491115612,5.364863505264144,0.10574154368615818,5.259121961577986,5.259121961577986,4.75619460226293,-1.0631809101895549,-0.0309817692084368,-1.032199140981118,1.032199140981118,1.0011807888451953,-0.023756956469182737,-0.011401958341931528,-0.012354998127251209,0.012354998127251209,0.01221571505309887
0.271,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.12360962054156327,0.005172708376687707,0.11843691216487556,0.11843691216487556,1.2082302495503319,,,-2.1907179870384414,-0.06320655596694646,-2.127511431071495,2.127511431071495,2.0010330251741193,3.0213801345404985,0.7606090111482864,2.260771123392212,2.260771123392212,1.2840847167524805,4.772529075448626,0.1513205972360674,4.621208478212559,4.621208478212559,4.013832888342763,-0.7331157615881695,-0.03425976850234436,-0.6988559930858251,0.6988559930858251,0.6757064466481189,-0.024744697008980694,-0.021499803259412253,-0.0032448937495684407,0.0032448937495684407,0.003176597527688796
0.3375,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.16583467549689057,0.0074915967662714245,0.15834307873061915,0.15834307873061915,1.0076369665934275,,,-2.007050628154248,-0.07820585345330777,-1.9288447747009405,1.9288447747009405,1.7889392535972448,2.361331817646757,0.8114399223816511,1.5498918952651057,1.5498918952651057,0.8556131926403243,4.3387156227711685,0.18887009758518492,4.149845525185984,4.149845525185984,3.4905794448149443,-0.5527922107995927,-0.03522375117365932,-0.5175684596259335,0.5175684596259335,0.49995806127820486,-0.02519540132433056,-0.033497931876126485,0.008302530551795924,0.008302530551795924,0.008033427349703736
0.404,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.19864420090966944,0.009833506621208632,0.1888106942884608,0.1888106942884608,0.8761179152775873,,,-1.8655627152823773,-0.09058334406890722,-1.77497937121347,1.77497937121347,1.6275504122327034,1.9407448023649485,0.8370176778784391,1.1037271244865094,1.1037271244865094,0.6008255324800126,4.004895047129234,0.2191399243808585,3.785755122748376,3.785755122748376,3.1052671207293745,-0.44208007441239894,-0.035087206994417336,-0.4069928674179816,0.4069928674179816,0.39319669363875803,-0.025375601485220268,-0.04691165731947211,0.021536055834251843,0.021536055834251843,0.02057103451249466
0.47050000000000003,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.22544289750942192,0.012146908119102129,0.2132959893903198,0.2132959893903198,0.7830904703415685,,,-1.7524653597733502,-0.1009368107540547,-1.6515285490192955,1.6515285490192955,1.500112025401466,1.652272661339546,0.8488731921391048,0.8033994692004411,0.8033994692004411,0.43453465203361297,3.7382485174399216,0.2432821104455265,3.4949664069943953,3.4949664069943953,2.8110807495991272,-0.3684893954715719,-0.034432349376540335,-0.33405704609503156,0.33405704609503156,0.3229375476282911,-0.02540750765473249,-0.06143762310284945,0.03603011544811696,0.03603011544811696,0.033944637597065626
0.537,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.24813076639519704,0.014408012050905361,0.23372275434429168,0.23372275434429168,0.713615910592296,,,-1.6594383850283312,-0.1097346041768279,-1.5497037808515033,1.5497037808515033,1.3964634201895805,1.443403157512802,0.8530231035631379,0.590380053949664,0.590380053949664,0.3186037199506228,3.519027666188259,0.2623692641769615,3.256658402011298,3.256658402011298,2.579798553741382,-0.31666180757178186,-0.0335476246494797,-0.28311418292230217,0.28311418292230217,0.27392466120592973,-0.025354029363419177,-0.07687868187107183,0.05152465250765265,0.05152465250765265,0.047846292600136536
0.6035,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.26785971828427124,0.016606947097640212,0.25125277118663103,0.25125277118663103,0.6595675681184613,,,-1.5811605688414878,-0.11732567423319629,-1.4638348946082915,1.4638348946082915,1.3101237431180477,1.2857676961925204,0.8527371493823912,0.4330305468101292,0.4330305468101292,0.23372476066261189,3.334626984116993,0.27730668946544346,3.057320294651549,3.057320294651549,2.393567903360035,-0.27851271154099017,-0.032579661246282136,-0.24593305029470802,0.24593305029470802,0.23817344029212886,-0.025250319561363546,-0.09310138466911366,0.06785106510775012,0.06785106510775012,0.062072069489042786
0.67,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.28537270625055366,0.01874095176934465,0.266631754481209,0.266631754481209,0.6161588246348306,,,-1.514063297073879,-0.12396761873258899,-1.3900956783412899,1.3900956783412899,1.2367755575634756,1.1628423766952676,0.8498518491596112,0.31299052753565637,0.31299052753565637,0.16919761854326235,3.176605433728104,0.28883949339902104,2.887765940329083,2.887765940329083,2.240593925868346,-0.24943227901395224,-0.03160350794103257,-0.21782877107291967,0.21782877107291967,0.21115551604480484,-0.025117255386136496,-0.11001151502510687,0.08489425963897038,0.08489425963897038,0.07648052158904874
0.7365,0.15984870094189604,0.04,-0.7,2.0,0.3,0.04,0.01,1.1733333333333333,0.3011725305654284,0.020810879999870524,0.2803616505655579,0.2803616505655579,0.5803925235312496,,,-1.4556585794234926,-0.12985139461275175,-1.325807184810741,1.325807184810741,1.1734350120133732,1.0644160648113963,0.8454252613423456,0.21899080346905064,0.21899080346905064,0.11866685043086422,3.0390851873391873,0.2975783589816905,2.7415068283574966,2.7415068283574966,2.1127871079084333,-0.22662423236434037,-0.03065677778617032,-0.19596745457817005,0.19596745457817005,0.1901384231898267,-0.02496782434555921,-0.1275395942884603,0.10257176994290108,0.10257176994290108,0.09096955039315452
